"","lib1_tag_ACACAC","lib1_tag_ACAGCA","lib1_tag_ACATGT","lib1_tag_ACGACG","lib1_tag_ACTAGC","lib1_tag_ACTCTG","lib1_tag_ACTGAT","lib1_tag_ATATCG","lib1_tag_ATCAGT","lib1_tag_ATGATA","lib1_tag_CACGAT","lib1_tag_CGACGC","lib1_tag_CTCGCA","lib1_tag_CTGCGT","lib1_tag_GATGAC","lib1_tag_GCAGTG","lib1_tag_GCGAGT","lib1_tag_GCGCTC","lib1_tag_GCGTAG","lib1_tag_GTCTCT","lib1_tag_TACGTG","lib1_tag_TCGCAT","lib1_tag_TCGTCA","lib1_tag_TCTGCG","lib1_tag_TGTATG","lib2_tag_ACACAC","lib2_tag_ACAGCA","lib2_tag_ACATGT","lib2_tag_ACGACG","lib2_tag_ACTAGC","lib2_tag_ACTCTG","lib2_tag_ACTGAT","lib2_tag_ATATCG","lib2_tag_ATCAGT","lib2_tag_ATGATA","lib2_tag_CACGAT","lib2_tag_CGACGC","lib2_tag_CTCGCA","lib2_tag_CTGCGT","lib2_tag_GATGAC","lib2_tag_GCAGTG","lib2_tag_GCGAGT","lib2_tag_GCGCTC","lib2_tag_GCGTAG","lib2_tag_GTCTCT","lib2_tag_TACGTG","lib2_tag_TCGCAT","lib2_tag_TCGTCA","lib2_tag_TCTGCG","lib2_tag_TGTATG","lib3_tag_ACACAC","lib3_tag_ACAGCA","lib3_tag_ACATGT","lib3_tag_ACGACG","lib3_tag_ACTAGC","lib3_tag_ACTCTG","lib3_tag_ACTGAT","lib3_tag_ATATCG","lib3_tag_ATCAGT","lib3_tag_ATGATA","lib3_tag_CACGAT","lib3_tag_CGACGC","lib3_tag_CTCGCA","lib3_tag_CTGCGT","lib3_tag_GATGAC","lib3_tag_GCAGTG","lib3_tag_GCGAGT","lib3_tag_GCGCTC","lib3_tag_GCGTAG","lib3_tag_GTCTCT","lib3_tag_TACGTG","lib3_tag_TCGCAT","lib3_tag_TCGTCA","lib3_tag_TCTGCG","lib3_tag_TGTATG"
"DUP_816",1,4,1,0,0,3,2,6,4,0,14,2,6,2,1,4,1,3,5,2,0,5,3,0,1,1,4,1,0,0,8,2,12,11,0,18,5,2,4,3,7,3,10,8,0,0,7,5,0,3,0,2,3,0,1,11,2,13,7,0,15,3,4,3,5,9,2,6,11,0,0,14,5,0,3
"DUP_817",0,0,5,0,0,8,11,0,0,0,0,1,0,0,0,3,0,0,0,21,0,9,22,0,12,0,0,11,0,0,7,27,0,0,0,0,2,0,0,1,0,0,0,1,28,0,12,21,0,20,0,0,6,0,0,6,13,0,1,0,0,0,0,0,1,0,0,0,0,17,0,8,18,0,11
"DUP_819",0,12,6,0,0,0,6,4,0,1,0,10,12,0,5,17,0,3,24,2,1,0,0,0,4,3,11,3,0,0,0,10,4,0,0,0,11,14,0,5,20,0,10,21,3,0,0,2,0,1,3,15,3,0,0,0,14,9,0,1,0,13,10,0,4,16,0,6,27,2,0,0,0,0,7
"DUP_820",1,2,0,0,0,7,2,7,6,0,11,9,3,1,2,5,2,5,2,2,0,5,3,0,3,0,3,2,0,0,10,3,10,8,0,16,4,1,1,0,12,0,9,2,2,0,21,7,0,1,0,9,1,0,0,10,4,8,7,0,13,5,10,5,2,9,1,3,6,3,0,8,4,0,2
"DUP_822",9,16,8,0,0,0,17,13,0,1,4,30,10,0,18,36,8,9,24,3,0,0,2,0,5,5,23,15,0,0,0,14,8,0,1,6,28,14,0,9,25,11,5,20,6,0,0,0,0,4,7,19,16,0,0,0,25,7,0,0,4,26,11,0,19,38,14,4,30,2,1,0,2,0,3
"DUP_823",0,0,3,0,0,5,21,0,3,0,0,1,0,0,0,0,0,0,0,14,0,10,17,0,16,0,0,7,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,18,0,10,14,0,14,0,0,8,0,0,11,28,0,0,0,0,0,0,0,0,1,0,0,1,24,0,11,15,0,16
"DUP_826",0,0,0,0,1,10,0,12,0,0,0,0,15,5,6,25,0,10,5,3,0,1,5,0,0,0,0,0,0,1,7,3,13,0,0,0,0,19,7,5,32,0,11,4,3,0,2,3,0,1,0,0,0,0,0,10,2,8,0,0,0,0,15,4,7,24,0,6,3,1,0,2,5,0,1
"DUP_828",6,12,4,0,0,0,11,3,0,1,3,13,63,0,5,15,11,2,19,0,0,0,0,0,0,2,7,6,0,0,0,3,5,0,0,3,10,67,0,2,20,15,1,8,2,0,0,1,0,1,2,12,7,0,0,0,8,5,0,1,1,13,62,0,6,22,17,2,10,0,1,0,1,0,2
"DUP_830",9,11,7,0,0,0,17,3,0,0,0,9,13,0,6,11,0,3,13,3,1,0,1,0,0,6,11,5,0,0,0,8,7,0,0,0,9,8,0,5,18,0,7,17,2,1,0,1,0,7,4,12,0,0,0,0,9,8,0,1,0,10,8,0,2,21,0,10,16,4,1,0,0,0,4
"DUP_839",5,11,0,0,0,0,8,3,0,0,0,14,8,0,4,22,0,6,18,1,1,0,1,0,3,2,8,1,0,0,0,11,6,0,0,0,14,12,0,4,15,0,7,21,0,0,0,1,0,3,3,7,2,0,0,0,13,8,0,0,0,15,5,0,4,19,0,7,23,1,1,0,1,0,2
"DUP_841",1,5,2,0,1,4,5,7,6,0,19,2,4,2,2,4,2,6,5,2,0,10,6,0,2,3,3,2,0,0,11,2,9,6,0,14,3,2,4,3,6,3,4,9,1,0,14,3,0,4,0,2,2,0,0,3,4,13,8,0,13,0,4,3,0,1,3,4,9,2,0,13,3,0,1
"DUP_853",0,0,0,0,0,0,0,1,0,0,0,0,89,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,98,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,8,2,0,2,0,0,0,0,0,0,0,0
"DUP_858",1,1,1,0,0,4,5,9,4,0,10,2,4,1,4,11,4,3,5,4,0,9,4,0,3,1,2,1,0,0,11,7,7,6,0,15,3,4,5,3,3,3,5,10,1,0,9,2,0,6,0,2,4,0,0,10,2,9,5,0,12,2,5,4,3,4,5,3,4,5,0,6,2,0,4
