"","lib1_tag_ACACAC","lib1_tag_ACAGCA","lib1_tag_ACATGT","lib1_tag_ACGACG","lib1_tag_ACTAGC","lib1_tag_ACTCTG","lib1_tag_ACTGAT","lib1_tag_ATATCG","lib1_tag_ATCAGT","lib1_tag_ATGATA","lib1_tag_CACGAT","lib1_tag_CGACGC","lib1_tag_CTCGCA","lib1_tag_CTGCGT","lib1_tag_GATGAC","lib1_tag_GCAGTG","lib1_tag_GCGAGT","lib1_tag_GCGCTC","lib1_tag_GCGTAG","lib1_tag_GTCTCT","lib1_tag_TACGTG","lib1_tag_TCGCAT","lib1_tag_TCGTCA","lib1_tag_TCTGCG","lib1_tag_TGTATG","lib2_tag_ACACAC","lib2_tag_ACAGCA","lib2_tag_ACATGT","lib2_tag_ACGACG","lib2_tag_ACTAGC","lib2_tag_ACTCTG","lib2_tag_ACTGAT","lib2_tag_ATATCG","lib2_tag_ATCAGT","lib2_tag_ATGATA","lib2_tag_CACGAT","lib2_tag_CGACGC","lib2_tag_CTCGCA","lib2_tag_CTGCGT","lib2_tag_GATGAC","lib2_tag_GCAGTG","lib2_tag_GCGAGT","lib2_tag_GCGCTC","lib2_tag_GCGTAG","lib2_tag_GTCTCT","lib2_tag_TACGTG","lib2_tag_TCGCAT","lib2_tag_TCGTCA","lib2_tag_TCTGCG","lib2_tag_TGTATG","lib3_tag_ACACAC","lib3_tag_ACAGCA","lib3_tag_ACATGT","lib3_tag_ACGACG","lib3_tag_ACTAGC","lib3_tag_ACTCTG","lib3_tag_ACTGAT","lib3_tag_ATATCG","lib3_tag_ATCAGT","lib3_tag_ATGATA","lib3_tag_CACGAT","lib3_tag_CGACGC","lib3_tag_CTCGCA","lib3_tag_CTGCGT","lib3_tag_GATGAC","lib3_tag_GCAGTG","lib3_tag_GCGAGT","lib3_tag_GCGCTC","lib3_tag_GCGTAG","lib3_tag_GTCTCT","lib3_tag_TACGTG","lib3_tag_TCGCAT","lib3_tag_TCGTCA","lib3_tag_TCTGCG","lib3_tag_TGTATG"
"chimera",339,465,226,499,140,75,109,190,302,0,112,224,837,157,1382,304,115,160,192,107,0,12,178,0,115,416,489,288,638,185,70,129,250,303,0,153,328,950,231,1451,402,143,204,234,139,0,11,191,0,110,341,448,230,512,181,64,112,216,293,0,141,260,859,210,1304,351,102,183,222,114,0,7,178,0,100
"DUP_1",7635,22262,15670,183,2629,60867,26019,67362,47722,0,129654,29751,31562,28305,15720,61858,11732,24169,61258,21478,0,92471,25793,0,25661,8736,24798,17789,206,3132,71862,28929,75970,52910,0,140785,33642,34113,31570,17707,70754,14094,29134,71855,23999,0,104408,29999,0,29072,8408,25300,17209,203,2918,69162,28287,74048,51794,0,139492,32011,33605,30072,17060,67883,13325,27329,68800,22963,0,101477,29107,0,27683
"DUP_2",369,78,41587,0,0,49571,110447,295,3238,0,1407,4673,1073,163,844,6514,77,349,1399,173790,0,61743,155873,0,138234,431,88,46428,0,0,58767,121600,377,3598,0,1547,5347,1163,192,973,7525,88,399,1620,190730,0,70418,178372,0,154400,398,96,45789,1,0,56565,122048,325,3612,0,1579,5256,1057,171,908,7341,84,374,1483,188525,0,68703,176714,0,151304
"DUP_3",79434,68,9782,28235,48827,1999,68,22091,2032,0,24407,32687,35427,38661,67392,12094,12378,10471,4660,96,0,904,193,0,5714,79223,50,9633,30014,48797,2208,55,21838,2026,0,23909,33219,33841,37851,67182,12262,12919,11053,4723,124,0,863,214,0,5805,88068,47,10703,32193,53162,2374,56,24156,2218,0,26165,35006,36276,41285,72427,13422,13977,11547,5298,118,0,918,225,0,6440
"DUP_4",1811,3388,934,0,0,0,6067,3152,0,86688,10,4337,5674,0,2479,11596,10,2671,11435,1155,95929,0,601,0,2270,1857,3233,937,0,0,0,5978,3124,0,85738,5,4352,5423,0,2491,11556,18,2852,12034,1180,92858,0,591,0,2282,2088,3702,975,0,0,0,6618,3498,0,97279,6,4671,5854,0,2548,12600,17,2883,12841,1307,104199,0,670,0,2497
"DUP_5",2494,7444,7992,12137,9707,18,255,5595,15034,0,1431,18582,1555,2309,4718,10578,11848,7648,11737,206,0,44,329,0,861,2575,7487,8054,12944,9793,12,247,5745,14660,0,1426,18838,1648,2307,4680,10782,12171,8207,12039,211,0,44,371,0,841,2904,8264,8724,13909,10740,11,247,6349,16000,0,1496,19875,1663,2502,4957,11740,13064,8545,12865,223,0,47,373,0,922
"DUP_6",0,0,0,0,8867,2566,5804,8807,0,0,0,0,10395,4964,2174,25365,0,8689,3321,703,0,569,1402,0,1521,0,0,0,0,8742,2608,5643,8609,0,0,0,0,10102,4961,2166,25243,0,9092,3514,643,0,571,1598,0,1612,0,0,0,0,9718,2952,6240,9566,0,0,0,0,10914,5387,2281,27402,0,9525,3799,689,0,589,1692,0,1766
"DUP_7",3153,192,5287,10849,21410,643,62,5697,859,0,4940,4319,2915,8395,3288,489,2238,1605,85,1,0,5,4,0,179,3164,207,5456,11819,21077,720,50,5560,847,0,4752,4337,2874,8264,3385,488,2236,1758,80,1,0,4,4,0,191,3423,192,5993,12434,23078,737,48,6155,922,0,5260,4558,3063,9029,3486,559,2388,1936,77,0,0,10,8,0,214
"DUP_9",0,35959,0,0,0,0,44,0,32266,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,35165,0,0,0,0,54,0,31558,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,39136,0,0,0,0,43,0,34511,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
"DUP_10",1565,9335,6046,0,0,0,1865,1065,0,1,3861,10155,22,0,3054,7868,5958,11,3889,2,0,0,0,0,4,1573,9050,6055,0,0,0,1822,1013,0,0,3892,10412,23,0,2959,7903,6143,5,3949,4,0,0,1,0,11,1718,10125,6524,0,0,0,2066,1147,0,0,4316,10996,33,0,3178,8500,6807,10,4228,1,0,0,1,0,6
"DUP_11",7041,146,4,0,0,0,1,6,155,0,13,1685,6117,44,49270,23,434,299,17,0,0,0,10,0,62,7092,139,0,0,0,0,2,2,167,0,18,1697,5804,23,48809,33,457,341,17,0,0,0,14,0,76,7608,151,2,0,0,0,2,5,197,0,18,1825,6251,47,52626,21,515,351,21,1,0,0,9,0,74
"DUP_12",0,27245,0,0,0,0,0,0,14328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25865,0,0,0,0,0,0,13711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29221,0,0,0,0,0,0,14996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUP_13",0,3950,0,0,6080,0,7368,0,0,0,6705,0,4259,4419,2573,0,0,0,0,0,0,1537,0,0,2788,0,3872,0,0,6130,0,7469,0,0,0,6461,0,4220,4624,2505,0,0,0,0,0,0,1571,0,0,2703,0,4377,0,0,6662,0,8180,0,0,0,7369,0,4390,4903,2791,0,0,0,0,0,0,1605,0,0,2937
"DUP_15",0,0,0,11306,2058,0,0,235,0,0,294,0,232,3199,0,2872,0,0,5266,0,0,0,0,0,251,0,0,0,12167,2191,0,0,277,0,0,285,0,267,3358,0,2756,0,0,5730,0,0,0,0,0,306,0,0,0,12874,2294,0,0,296,0,0,337,0,226,3441,0,3064,0,0,5820,0,0,0,0,0,329
"DUP_16",12,33,23,0,4,11168,55,101,79,0,177,63,89,45,36,85,51,56,60,32,0,4082,37,0,42,20,51,29,1,3,13166,60,93,102,0,174,52,75,56,29,103,57,61,72,18,0,4709,40,0,63,19,42,29,0,6,12542,66,109,95,0,179,50,83,55,29,98,55,63,93,33,0,4607,35,0,45
"DUP_17",0,0,798,0,0,0,5286,0,0,0,0,1,0,3598,0,3301,0,6943,0,0,0,0,0,0,0,0,0,757,0,0,0,5183,0,0,0,0,0,0,3535,0,3432,0,7547,0,0,0,0,0,0,0,0,0,813,0,0,0,5869,0,0,0,0,1,0,3768,0,3657,0,7885,0,0,0,0,0,0,0
"DUP_18",0,0,3053,0,0,6572,89,0,5,0,1,4,0,0,2,4,0,22,0,117,0,4221,106,0,123,0,0,3484,0,0,7921,117,0,4,0,1,2,2,0,2,6,0,19,2,105,0,4738,102,0,137,0,0,3271,0,0,7411,129,0,6,0,0,7,2,0,0,5,0,29,1,107,0,4566,107,0,99
"DUP_19",135,0,0,148,101,0,0,0,84,0,10,0,9492,5398,9,0,0,7,0,8,0,0,52,0,0,144,0,0,156,88,0,0,0,92,0,12,0,9533,5297,9,0,0,5,0,20,0,0,63,0,0,138,0,0,145,110,0,0,0,78,0,16,0,9784,5654,8,0,0,3,0,15,0,0,63,0,0
"DUP_20",9,32,2868,0,3,1001,2154,123,88,0,267,106,57,54,24,228,16,2867,79,52,0,402,41,0,64,14,28,3165,0,5,1164,2388,128,81,0,281,127,64,59,18,269,14,3430,100,58,0,403,40,0,59,13,35,3129,1,5,1135,2453,148,89,0,263,113,60,53,19,261,27,3295,105,62,0,420,38,0,54
"DUP_21",65,6142,0,0,0,0,0,0,5090,0,0,736,2760,0,0,0,0,0,0,10,0,0,0,0,0,55,6159,0,0,0,0,0,0,4943,0,0,744,2768,0,0,0,0,0,0,10,0,0,0,0,0,54,6554,0,0,0,0,0,0,5362,0,0,794,2920,0,0,0,0,0,0,14,0,0,0,0,0
"DUP_22",1650,750,15,0,3,368,14,33,900,0,4070,796,24,26,10,803,9,34,130,8,0,46,42,0,16,1950,911,11,0,3,497,22,39,899,0,4370,900,29,24,10,907,18,34,139,18,0,72,59,0,24,1922,810,12,0,1,409,21,50,1032,0,4315,863,25,21,16,869,10,32,138,9,0,55,60,0,20
"DUP_23",0,0,1077,0,3156,0,0,0,0,0,0,0,0,0,1314,0,0,0,4866,0,0,0,0,0,0,0,0,1087,0,3279,0,0,0,0,0,0,0,0,0,1254,0,0,0,4980,0,0,0,0,0,0,0,0,1157,0,3528,0,0,0,0,0,0,0,0,0,1382,0,0,0,5555,0,0,0,0,0,0
"DUP_24",0,21,6958,0,0,0,0,0,0,0,0,0,0,0,201,2,3300,0,0,0,0,0,0,0,0,0,32,6984,0,0,0,0,0,0,0,0,0,0,0,210,2,3627,0,0,0,0,0,0,0,0,0,35,7628,0,0,0,0,0,0,0,0,0,0,0,200,1,3829,0,0,0,0,0,0,0,0
"DUP_25",2,17,421,0,1,35,12,33,33,0,57,22,23,24,12,54,6,8,7289,16,0,49,23,0,6,5,20,468,0,5,50,16,29,33,0,73,23,20,18,7,62,9,19,8438,20,0,58,19,0,21,5,14,477,0,0,45,15,44,38,0,67,15,19,13,10,57,12,20,8214,25,0,60,23,0,19
"DUP_26",0,1207,0,2101,3489,2,0,12,0,0,1231,10,802,208,0,3,0,0,0,0,0,71,0,0,0,0,1289,0,2083,3439,1,0,5,0,0,1160,4,734,180,0,0,0,0,0,0,0,77,2,0,0,0,1321,0,2250,3655,2,0,15,1,0,1231,9,816,215,0,3,0,0,0,0,0,51,2,0,0
"DUP_27",0,0,5,0,0,0,2174,0,0,0,0,5279,0,0,0,10,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,2174,0,0,0,0,5391,0,0,0,9,0,38,0,0,0,0,0,0,0,0,0,2,0,0,0,2393,0,0,0,0,5758,0,0,0,11,0,29,0,0,0,0,0,0,0
"DUP_28",0,13,0,0,0,0,5,0,7,0,0,0,8,7466,1,0,0,0,0,0,0,0,0,0,8,0,15,0,0,0,0,1,0,9,0,0,0,9,7326,2,0,0,0,0,0,0,0,0,0,15,0,24,0,0,0,0,3,0,11,0,0,0,9,8018,4,2,0,0,1,0,0,0,0,0,16
"DUP_29",180,3626,1285,1,7,0,0,6,406,0,19,44,53,10,472,0,442,394,8,27,0,87,40,0,1,202,3629,1212,1,7,0,0,7,355,0,26,65,68,11,480,0,460,424,5,22,0,74,46,0,0,198,3983,1329,1,9,0,0,5,412,0,19,44,68,8,436,0,469,437,10,29,0,73,47,0,0
"DUP_32",0,0,702,0,1,0,4727,0,0,0,0,0,0,0,1,2,4016,0,0,0,0,0,0,0,0,0,0,721,0,0,0,4704,0,0,0,0,0,0,0,0,3,4203,0,1,0,0,0,0,0,0,0,0,776,0,0,0,5127,0,0,0,0,1,0,0,0,5,4548,0,0,0,0,0,0,0,0
"DUP_33",253,0,1464,0,0,0,0,0,0,0,0,0,960,0,292,15,2368,0,0,1,0,0,239,0,0,290,0,1383,0,0,0,0,0,0,0,0,0,958,0,287,20,2521,0,0,2,0,0,197,0,0,297,0,1534,0,0,0,0,0,0,0,0,0,961,0,266,23,2625,0,0,1,0,0,224,0,0
"DUP_34",6,27,33,0,5,89,38,106,1862,0,208,53,38,38,30,102,18,44,187,49,0,123,61,0,1382,8,28,46,0,3,123,47,108,2020,0,216,52,60,67,29,103,21,53,192,52,0,127,77,0,1595,8,45,43,0,8,104,47,97,2077,0,208,61,54,60,37,108,27,55,208,53,0,147,65,0,1590
"DUP_35",2,8,9,0,0,12,10,3626,447,0,36,42,12,13,94,21,3,10,25,6,0,29,8,0,4,6,14,1,0,0,34,19,3869,465,0,44,33,11,16,105,25,5,11,28,9,0,30,11,0,7,3,5,4,0,1,22,7,3906,492,0,53,38,12,9,91,23,2,9,32,5,0,44,11,0,11
"DUP_37",1,1,3,0,2,3,3,8,9,0,10,6,3,5,1,3740,1,2,8,5,0,9,3,0,1,0,4,2,0,1,10,3,8,6,0,10,11,1,3,2,4294,2,6,6,4,0,4,4,0,3,2,3,6,0,0,3,2,7,5,0,8,2,4,1,0,3998,3,8,8,5,0,12,2,0,3
"DUP_39",52,0,6,0,0,66,15,0,0,0,0,0,4422,40,0,0,0,0,0,0,0,0,0,0,0,60,0,2,0,0,54,12,0,0,0,0,0,4118,24,0,0,0,0,0,0,0,0,0,0,0,61,0,2,0,0,64,10,0,0,0,0,0,4581,38,1,0,0,0,0,0,0,0,0,0,0
"DUP_40",12,30,40,0,6,29,42,47,2548,0,132,37,45,43,24,73,15,41,336,23,0,55,19,0,38,13,40,48,0,3,45,30,72,2770,0,140,52,46,49,38,70,20,53,357,20,0,38,32,0,41,6,23,37,0,4,52,55,60,2785,0,131,46,42,55,30,75,27,52,362,17,0,51,36,0,35
"DUP_41",436,0,0,0,0,0,0,0,0,0,0,3732,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,3868,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,0,0,0,0,0,0,0,0,0,3981,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUP_42",9,28,18,0,4,84,38,81,61,0,147,43,40,37,17,2302,14,29,66,17,0,102,28,0,62,12,35,25,0,6,111,47,108,75,0,160,52,21,43,15,2614,18,36,79,25,0,141,39,0,55,14,37,31,1,4,94,47,125,68,0,179,45,33,36,28,2616,18,26,79,26,0,104,42,0,46
"DUP_43",2,5,2,0,1,9,6,440,4,0,747,197,8,4,4,1080,4,2,678,6,0,23,6,0,4,2,4,5,0,0,12,11,472,17,0,830,250,7,2,3,1281,1,6,725,3,0,20,4,0,6,1,3,3,0,0,15,7,469,10,0,852,213,6,5,4,1285,2,2,735,6,0,25,6,0,5
"DUP_44",3,54,105,0,0,0,6,416,16,0,1,3095,0,14,41,1,149,14,9,1,0,0,5,0,12,9,48,78,0,0,0,4,445,24,0,2,3235,0,32,35,0,155,17,5,0,0,0,3,0,18,2,51,113,0,0,0,5,506,20,0,3,3382,1,30,43,0,174,15,5,1,0,0,6,0,11
"DUP_45",7,892,30,0,4,48,26,933,65,0,910,38,31,29,19,45,15,28,37,14,0,44,24,0,28,7,971,13,2,4,69,30,1084,50,0,981,29,45,25,25,60,26,46,55,13,0,41,29,0,29,11,958,20,0,3,69,29,991,66,0,946,32,44,25,18,52,31,40,46,13,0,56,22,0,30
"DUP_46",2,0,102,0,0,421,42,2,2,0,1,10,5,1,16,22,0,1,4,933,0,102,1130,0,239,1,0,109,0,0,521,70,5,2,0,6,11,6,0,21,17,0,1,4,1130,0,100,1256,0,294,6,0,107,0,0,551,64,0,3,0,3,9,5,0,16,19,0,2,3,1061,0,99,1245,0,269
"DUP_47",2,0,112,0,0,483,266,1,18,0,6,26,0,1,10,20,0,2,5,698,0,346,927,0,273,2,0,118,0,0,530,273,0,11,0,2,31,0,1,8,27,0,0,13,724,0,384,986,0,310,1,1,109,0,0,582,240,1,8,0,10,27,1,0,9,26,0,1,10,691,0,369,1044,0,296
"DUP_48",29,48,41,0,5,116,106,783,155,0,306,108,270,67,52,152,26,54,321,43,0,208,51,0,57,34,63,51,1,6,150,105,888,176,0,359,162,281,89,54,161,35,75,339,51,0,248,60,0,60,45,70,38,0,7,137,114,839,176,0,366,137,295,77,47,153,30,70,343,40,0,266,49,0,64
"DUP_49",0,0,0,0,0,1,0,0,0,0,0,0,2963,845,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2729,906,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2855,960,0,0,0,0,0,0,0,1,0,0,0
"DUP_51",164,0,2217,0,0,0,0,0,0,0,0,0,0,0,910,0,0,0,0,0,0,0,74,0,0,217,0,2297,0,0,0,0,0,0,0,0,0,0,0,971,0,0,0,0,0,0,0,92,0,0,186,0,2517,0,0,0,0,0,0,0,0,0,0,0,1048,0,0,0,0,0,0,0,77,0,0
"DUP_52",16,70,44,0,19,171,95,331,171,0,397,125,96,104,52,191,32,141,220,76,0,273,109,0,124,25,73,54,1,19,208,107,318,174,0,410,143,125,117,51,213,44,158,222,70,0,301,90,0,159,18,60,39,0,17,222,96,330,158,0,430,132,116,98,61,183,31,142,192,80,0,310,101,0,116
"DUP_54",0,0,3288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUP_55",0,2,1,0,0,2,1,2,2586,0,2,0,0,0,0,2,0,1,5,0,0,3,0,0,1,0,1,2,0,0,3,1,3,2935,0,5,0,2,1,0,1,1,1,0,1,0,6,0,0,1,0,1,0,0,0,4,2,3,2873,0,9,2,2,0,0,1,1,0,6,2,0,6,2,0,0
"DUP_56",4,0,81,0,0,327,169,2,4,0,4,25,3,2,8,20,0,0,6,564,0,301,810,0,210,1,0,102,0,0,367,167,0,8,0,6,23,7,1,8,20,0,3,9,630,0,289,935,0,274,2,0,113,0,0,332,195,2,10,0,7,12,1,1,7,17,0,1,5,643,0,294,977,0,265
"DUP_57",10,47,35,0,5,171,61,204,134,0,306,116,335,93,29,154,29,67,114,54,0,200,292,0,59,16,69,38,0,7,161,74,211,135,0,325,134,363,90,39,174,22,68,175,53,0,238,352,0,86,20,47,41,1,7,159,71,198,131,0,310,126,381,85,45,150,30,66,149,53,0,248,384,0,91
"DUP_58",2,0,136,0,0,122,398,1,8,0,2,24,4,0,3,18,0,2,4,603,0,205,492,0,482,0,1,161,0,0,143,452,1,9,0,2,11,0,0,4,29,0,0,4,697,0,250,535,0,531,1,0,143,0,0,149,427,0,13,0,2,18,3,0,3,25,0,0,2,671,0,235,531,0,509
"DUP_59",156,0,0,0,1324,0,0,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,1359,0,0,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,1506,0,0,1464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUP_61",0,0,871,0,13,0,0,0,2,0,0,132,0,0,0,0,710,1212,0,0,0,0,0,0,0,0,0,902,0,21,0,0,0,0,0,0,142,0,0,0,0,815,1220,0,0,0,0,0,0,0,0,0,974,0,17,0,0,0,2,0,0,141,0,0,0,0,813,1286,0,0,0,0,0,0,0
"DUP_62",3,27,23,0,4,33,30,44,54,0,116,39,1802,31,18,68,13,26,43,16,0,42,17,0,43,10,30,22,0,2,42,30,62,42,0,102,49,1827,37,11,86,9,51,70,21,0,54,22,0,27,9,29,30,2,2,37,22,55,50,0,99,46,1849,37,22,75,13,43,59,19,0,59,18,0,24
"DUP_63",0,0,2809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"DUP_64",18,63,26,0,6,114,57,146,386,0,269,96,81,74,53,156,37,167,139,44,0,146,96,0,65,24,69,32,0,4,122,61,163,445,0,305,105,93,72,48,164,55,207,161,60,0,144,93,0,82,14,67,48,0,8,121,63,147,402,0,292,99,97,67,41,168,49,215,174,32,0,183,95,0,77
"DUP_65",21,0,0,3,0,0,0,47,0,0,7,0,970,1716,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,0,29,0,0,6,0,934,1725,0,0,0,0,0,4,0,0,0,0,0,23,0,0,1,0,1,0,44,0,0,5,0,971,1788,0,0,0,0,0,3,0,0,0,0,0
"DUP_66",2,0,122,0,0,94,327,0,16,0,4,10,4,0,3,26,0,1,4,503,0,112,428,0,422,0,0,144,0,0,124,339,0,14,0,1,15,1,1,3,31,0,1,5,561,0,140,487,0,422,0,0,144,0,0,111,346,1,18,0,5,15,1,0,2,24,0,3,1,608,0,137,507,0,466
"DUP_67",0,0,1861,0,0,0,0,0,0,0,0,71,0,0,0,0,708,0,0,0,0,0,0,0,0,0,0,1795,0,0,0,0,0,0,0,0,76,0,0,0,0,727,0,0,0,0,0,0,0,0,0,0,2033,0,0,0,0,0,0,0,0,70,0,0,0,0,716,0,0,0,0,0,0,0,0
"DUP_68",0,0,0,0,0,0,0,0,0,0,0,0,2320,452,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2275,434,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2466,478,0,0,0,0,0,0,0,2,0,0,0
"DUP_70",2,1,100,0,0,108,273,0,4,0,5,12,5,0,4,19,0,1,3,457,0,155,434,0,420,3,2,118,0,0,115,281,0,9,0,2,15,2,0,2,13,0,0,2,526,0,177,438,0,444,5,0,108,0,0,129,308,0,3,0,3,18,2,0,2,23,0,4,5,552,0,141,466,0,447
"DUP_71",0,0,135,0,0,104,368,1,6,0,7,7,5,0,2,14,0,1,3,397,0,93,370,0,370,1,0,137,0,0,100,431,1,17,0,4,13,3,0,1,18,0,0,5,472,0,123,463,0,407,1,1,135,0,0,111,420,0,6,0,6,8,4,0,4,19,0,0,4,489,0,105,471,0,408
"DUP_72",0,0,94,0,0,94,408,0,6,0,1,6,7,1,3,17,0,2,4,371,0,82,313,0,458,0,0,126,0,0,96,412,1,12,0,1,15,8,2,1,18,0,1,4,437,0,97,367,0,537,0,0,111,0,0,86,425,1,6,0,1,9,12,0,5,12,0,1,2,444,0,90,369,0,506
"DUP_73",1,0,95,0,0,106,267,1,6,0,1,15,4,0,1,17,0,1,3,456,0,172,426,0,321,0,0,103,0,0,116,298,0,7,0,1,13,3,0,2,31,1,2,7,530,0,143,417,0,346,1,0,122,0,0,133,324,0,5,0,2,18,6,0,1,20,0,1,8,540,0,161,442,0,335
"DUP_74",0,0,1390,0,0,30,65,0,5,0,2,5,0,0,3,4,0,1,2,111,0,36,106,0,95,0,0,1606,0,0,30,87,0,1,0,1,1,0,0,1,6,0,0,1,118,0,36,100,0,126,1,0,1497,0,0,30,61,0,5,0,2,4,4,1,0,4,0,0,3,113,0,36,104,0,140
"DUP_75",14,35,28,0,4,62,89,87,101,0,173,47,70,49,32,85,27,48,618,42,0,99,34,0,41,20,53,37,0,10,59,95,100,102,0,193,68,74,69,36,90,49,68,734,38,0,110,49,0,37,17,74,34,0,3,69,83,100,111,0,190,47,78,69,35,86,38,64,721,25,0,98,45,0,48
"DUP_76",22,56,42,0,3,182,66,174,103,0,253,70,73,68,44,104,47,68,111,42,0,145,63,0,67,19,56,48,0,8,231,61,208,119,0,266,92,99,95,45,139,63,78,142,53,0,187,62,0,57,27,59,38,1,9,184,56,199,119,0,266,90,99,71,49,131,57,63,141,38,0,148,59,0,65
"DUP_77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266,0,0,0,0,0,0,0,0,0
"DUP_79",0,0,0,0,0,0,0,0,2137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUP_80",13,48,30,0,5,93,52,129,135,0,428,74,63,62,34,141,32,104,112,49,0,130,46,0,50,14,54,37,0,7,113,64,151,120,0,461,97,73,75,49,136,44,86,131,46,0,155,52,0,60,19,46,31,0,4,125,76,127,108,0,455,74,86,75,39,137,44,87,120,34,0,151,52,0,57
"DUP_81",4,0,86,0,0,97,309,0,5,0,9,10,2,1,46,12,0,0,2,347,0,96,349,0,381,2,0,110,0,0,99,324,1,9,0,4,8,4,0,48,22,0,0,3,417,0,120,375,0,445,0,0,103,0,0,79,294,0,12,0,7,8,4,1,49,19,0,2,3,390,0,96,411,0,430
"DUP_82",1,0,34,0,0,243,52,0,4,0,3,6,3,0,11,15,0,1,2,526,0,110,673,0,97,1,0,52,0,0,299,68,0,0,0,4,13,0,0,16,13,0,2,3,551,0,124,692,0,112,2,0,48,0,0,292,52,0,2,0,3,5,4,0,13,11,0,0,4,546,0,94,731,0,113
"DUP_83",1,0,100,0,0,100,252,1,7,0,2,7,2,0,0,10,0,0,1,401,0,123,344,0,291,0,0,137,0,0,108,267,0,12,0,3,12,2,1,4,9,0,0,2,401,0,178,401,0,317,0,0,112,0,0,108,292,1,11,0,4,10,5,0,3,10,0,0,4,426,0,183,395,0,377
"DUP_84",26,58,116,0,2,63,36,73,49,0,620,42,83,22,19,60,17,34,54,21,0,64,66,0,48,14,84,147,1,0,83,62,79,66,0,831,34,95,38,17,94,16,38,62,21,0,96,84,0,51,26,66,117,0,6,63,63,74,51,0,717,47,83,39,18,62,14,42,62,15,0,104,81,0,41
"DUP_85",18,61,46,2,9,84,73,130,119,0,228,68,64,56,31,113,30,81,101,36,0,84,39,0,54,19,76,40,0,6,117,94,167,149,0,249,80,87,74,35,135,36,79,143,41,0,146,51,0,72,20,80,39,0,3,97,76,139,157,0,269,81,93,62,35,146,40,77,124,53,0,128,51,0,50
"DUP_86",0,0,0,436,1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUP_87",16,67,38,0,4,76,55,103,143,0,263,61,83,62,46,107,21,81,113,31,0,139,55,0,34,20,50,48,2,4,93,55,124,158,0,274,81,93,56,44,115,42,100,120,45,0,142,47,0,65,15,66,37,0,8,97,68,116,193,0,305,71,67,71,40,108,26,126,146,34,0,131,55,0,49
"DUP_88",11,84,25,0,3,84,68,129,129,0,283,90,92,65,39,93,34,60,103,32,0,106,68,0,35,7,76,29,1,4,108,70,119,115,0,265,89,84,69,30,131,35,65,93,43,0,132,79,0,46,16,71,32,0,8,104,59,150,114,0,268,70,82,68,42,121,35,52,91,34,0,129,71,0,48
